iter	Passed	Remaining
0	143	142875
1	145	72801
2	149	49565
3	152	37903
4	155	30947
5	158	26309
6	161	22956
7	164	20458
8	168	18518
9	171	16969
10	174	15728
11	178	14680
12	181	13783
13	184	13014
14	188	12345
15	191	11750
16	194	11234
17	197	10780
18	200	10369
19	204	9997
20	207	9654
21	210	9341
22	213	9053
23	216	8789
24	219	8553
25	222	8333
26	225	8118
27	227	7881
28	229	7672
29	231	7469
30	232	7277
31	234	7096
32	236	6925
33	238	6767
34	240	6617
35	241	6473
36	243	6335
37	245	6207
38	247	6086
39	248	5974
40	250	5863
41	252	5763
42	254	5663
43	256	5569
44	258	5477
45	259	5388
46	261	5305
47	263	5227
48	265	5152
49	267	5076
50	268	5004
51	270	4934
52	272	4870
53	274	4808
54	276	4743
55	277	4682
56	279	4624
57	281	4570
58	283	4518
59	285	4467
60	286	4417
61	288	4370
62	290	4322
63	292	4276
64	294	4233
65	296	4194
66	298	4151
67	299	4098
68	300	4059
69	302	4024
70	304	3985
71	306	3949
72	308	3914
73	310	3880
74	311	3846
75	313	3812
76	315	3787
77	317	3757
78	319	3728
79	322	3704
80	324	3677
81	325	3649
82	327	3622
83	329	3595
84	330	3561
85	332	3538
86	334	3506
87	335	3481
88	337	3457
89	339	3434
90	341	3413
91	343	3391
92	345	3368
93	347	3344
94	348	3321
95	350	3300
96	352	3279
97	354	3258
98	355	3238
99	357	3219
100	359	3200
101	360	3173
102	362	3155
103	364	3136
104	365	3118
105	367	3101
106	369	3083
107	371	3066
108	373	3050
109	375	3034
110	376	3019
111	378	3003
112	380	2987
113	382	2972
114	384	2958
115	385	2940
116	387	2927
117	389	2913
118	391	2895
119	393	2882
120	394	2868
121	396	2854
122	397	2835
123	399	2821
124	401	2809
125	403	2797
126	405	2786
127	406	2769
128	408	2757
129	410	2744
130	412	2733
131	413	2721
132	415	2709
133	417	2697
134	419	2684
135	420	2669
136	421	2654
137	422	2638
138	423	2624
139	424	2609
140	425	2594
141	426	2579
142	428	2565
143	429	2551
144	430	2537
145	431	2524
146	432	2510
147	433	2497
148	434	2483
149	435	2469
150	436	2456
151	437	2443
152	439	2430
153	440	2417
154	441	2405
155	442	2393
156	443	2382
157	444	2370
158	445	2358
159	447	2346
160	448	2335
161	449	2323
162	450	2311
163	451	2300
164	452	2288
165	453	2277
166	454	2267
167	455	2256
168	456	2245
169	457	2234
170	458	2224
171	459	2213
172	461	2203
173	462	2193
174	463	2183
175	464	2173
176	465	2164
177	466	2154
178	467	2144
179	468	2134
180	469	2122
181	470	2113
182	471	2103
183	472	2094
184	473	2085
185	474	2076
186	475	2066
187	476	2058
188	477	2050
189	478	2041
190	479	2032
191	480	2023
192	482	2015
193	483	2007
194	484	1998
195	485	1990
196	486	1982
197	487	1973
198	488	1965
199	489	1957
200	490	1949
201	491	1941
202	492	1933
203	493	1926
204	494	1918
205	495	1911
206	496	1903
207	498	1896
208	499	1888
209	500	1881
210	501	1874
211	502	1867
212	503	1859
213	504	1852
214	505	1845
215	506	1838
216	507	1831
217	508	1824
218	509	1817
219	510	1810
220	511	1803
221	512	1797
222	513	1790
223	515	1784
224	516	1777
225	517	1771
226	518	1764
227	519	1758
228	520	1751
229	521	1745
230	522	1738
231	523	1732
232	524	1726
233	525	1720
234	526	1714
235	527	1708
236	528	1702
237	529	1695
238	530	1690
239	531	1684
240	532	1678
241	534	1672
242	535	1666
243	536	1661
244	537	1655
245	538	1650
246	539	1644
247	540	1638
248	541	1633
249	542	1627
250	543	1622
251	544	1616
252	545	1611
253	546	1605
254	547	1600
255	548	1594
256	549	1589
257	550	1584
258	551	1579
259	552	1573
260	554	1568
261	555	1563
262	556	1558
263	557	1553
264	558	1548
265	559	1543
266	560	1538
267	561	1534
268	562	1529
269	563	1524
270	564	1519
271	566	1515
272	567	1510
273	568	1505
274	569	1500
275	570	1496
276	571	1491
277	572	1486
278	573	1482
279	574	1477
280	575	1472
281	576	1468
282	577	1463
283	578	1459
284	579	1454
285	581	1450
286	582	1446
287	583	1441
288	584	1437
289	585	1433
290	586	1428
291	587	1424
292	588	1420
293	589	1416
294	590	1412
295	591	1407
296	593	1403
297	594	1399
298	595	1395
299	596	1391
300	597	1386
301	598	1382
302	599	1378
303	600	1374
304	601	1370
305	602	1366
306	603	1362
307	604	1358
308	605	1354
309	606	1350
310	607	1346
311	609	1343
312	610	1339
313	611	1335
314	612	1331
315	613	1327
316	614	1324
317	615	1320
318	616	1316
319	617	1313
320	618	1309
321	619	1305
322	621	1301
323	622	1298
324	623	1294
325	624	1290
326	625	1286
327	626	1283
328	628	1280
329	629	1277
330	630	1274
331	631	1270
332	632	1267
333	633	1263
334	634	1259
335	635	1256
336	636	1252
337	637	1249
338	639	1246
339	640	1242
340	641	1239
341	642	1235
342	643	1232
343	644	1228
344	645	1225
345	646	1222
346	647	1218
347	648	1215
348	649	1211
349	650	1208
350	651	1204
351	652	1201
352	653	1198
353	654	1194
354	655	1191
355	657	1188
356	658	1185
357	659	1182
358	660	1179
359	661	1176
360	662	1172
361	663	1169
362	664	1166
363	665	1163
364	666	1160
365	667	1156
366	668	1153
367	669	1150
368	671	1147
369	672	1144
370	673	1141
371	674	1138
372	675	1136
373	677	1133
374	678	1130
375	679	1127
376	680	1124
377	681	1121
378	682	1118
379	683	1115
380	685	1113
381	686	1110
382	687	1107
383	688	1104
384	689	1101
385	690	1098
386	691	1095
387	692	1092
388	693	1089
389	695	1087
390	696	1084
391	697	1081
392	698	1078
