iter	Passed	Remaining
0	97	97842
1	101	50624
2	104	34783
3	108	26920
4	111	22163
5	115	19088
6	118	16791
7	121	15104
8	125	13787
9	128	12750
10	132	11878
11	135	11167
12	138	10550
13	142	10050
14	146	9592
15	149	9203
16	152	8846
17	156	8530
18	159	8249
19	164	8067
20	168	7865
21	172	7661
22	175	7473
23	180	7321
24	183	7157
25	186	7003
26	190	6860
27	193	6722
28	197	6601
29	200	6488
30	204	6376
31	207	6273
32	211	6184
33	214	6081
34	217	5999
35	220	5913
36	224	5846
37	227	5767
38	231	5699
39	234	5623
40	237	5562
41	241	5501
42	245	5455
43	248	5397
44	252	5348
45	255	5292
46	258	5243
47	261	5192
48	265	5143
49	268	5099
50	271	5054
51	275	5022
52	278	4979
53	281	4937
54	285	4899
55	288	4866
56	291	4825
57	295	4793
58	298	4760
59	301	4726
60	305	4700
61	308	4672
62	312	4641
63	315	4610
64	318	4586
65	322	4557
66	325	4536
67	329	4511
68	332	4491
69	336	4465
70	339	4446
71	344	4439
72	348	4423
73	351	4399
74	354	4377
75	358	4356
76	361	4337
77	365	4317
78	368	4298
79	373	4299
80	377	4283
81	381	4267
82	383	4232
83	386	4218
84	390	4203
85	394	4192
86	398	4183
87	401	4158
88	403	4129
89	405	4101
90	407	4073
91	409	4044
92	411	4017
93	414	3992
94	416	3965
95	418	3938
96	420	3912
97	422	3889
98	424	3862
99	426	3836
100	428	3812
101	430	3790
102	432	3767
103	434	3745
104	437	3725
105	439	3703
106	441	3680
107	443	3663
108	445	3643
109	447	3622
110	449	3602
111	452	3583
112	453	3563
113	455	3543
114	458	3524
115	460	3505
116	461	3482
117	463	3464
118	465	3446
119	467	3428
120	469	3410
121	470	3389
122	473	3372
123	475	3356
124	477	3339
125	479	3322
126	481	3306
127	483	3292
128	485	3277
129	487	3261
130	489	3249
131	491	3234
132	493	3219
133	496	3205
134	498	3194
135	500	3180
136	502	3168
137	505	3158
138	507	3146
139	510	3136
140	513	3126
141	514	3109
142	517	3099
143	519	3090
144	522	3079
145	524	3069
146	527	3059
147	531	3057
148	534	3050
149	536	3040
150	538	3030
151	541	3022
152	544	3012
153	546	3001
154	548	2990
155	551	2981
156	553	2971
157	555	2960
158	558	2951
159	560	2942
160	562	2928
161	564	2919
162	566	2910
163	569	2901
164	572	2895
165	574	2887
166	576	2877
167	579	2869
168	581	2860
169	584	2854
170	587	2847
171	589	2838
172	592	2830
173	594	2822
174	597	2814
175	599	2805
176	602	2799
177	604	2790
178	606	2781
179	609	2776
180	611	2768
181	614	2759
182	616	2752
183	619	2745
184	621	2736
185	623	2729
186	626	2721
187	628	2713
188	630	2705
189	633	2699
190	635	2692
191	638	2686
192	640	2679
193	642	2671
194	645	2664
195	647	2656
196	649	2649
197	652	2641
198	655	2636
199	657	2629
200	659	2622
201	662	2615
202	664	2609
203	666	2601
204	669	2595
205	671	2587
206	673	2579
207	675	2572
208	677	2565
209	680	2558
210	682	2552
211	684	2545
212	687	2539
213	689	2531
214	691	2524
215	693	2517
216	695	2511
217	698	2504
218	700	2497
219	702	2490
220	704	2484
221	707	2478
222	709	2471
223	711	2464
224	713	2457
225	715	2450
226	717	2443
227	719	2437
228	722	2430
229	725	2427
230	728	2423
231	730	2417
232	732	2410
233	734	2403
234	736	2397
235	738	2390
236	740	2384
237	743	2381
238	745	2374
239	748	2369
240	750	2364
241	753	2359
242	755	2353
243	757	2347
244	759	2341
245	762	2336
246	764	2330
247	766	2324
248	768	2318
249	770	2311
250	772	2305
251	774	2299
252	776	2293
253	779	2288
254	781	2282
255	783	2277
256	785	2271
257	787	2265
258	789	2259
259	791	2252
260	793	2247
261	795	2241
262	797	2234
263	799	2228
264	801	2223
265	803	2217
266	805	2211
267	807	2205
268	809	2199
269	811	2193
270	813	2187
271	815	2181
272	817	2176
273	819	2170
274	821	2164
275	823	2160
276	826	2155
277	828	2151
278	830	2146
279	832	2141
280	834	2135
281	836	2129
282	838	2123
283	840	2118
284	842	2112
285	843	2106
286	846	2101
287	848	2096
288	850	2091
289	852	2085
290	854	2081
291	856	2075
292	857	2070
293	859	2064
294	861	2059
295	863	2054
296	865	2049
297	867	2044
298	870	2039
299	872	2035
300	874	2030
301	876	2026
302	878	2021
303	880	2016
304	882	2010
305	884	2006
306	886	2001
307	888	1995
308	890	1990
309	892	1986
310	894	1980
311	895	1975
312	897	1970
313	900	1966
314	901	1961
315	903	1956
316	906	1952
317	908	1947
318	910	1942
319	911	1937
320	915	1935
321	917	1931
322	919	1926
323	921	1922
324	923	1917
325	925	1913
326	928	1910
327	930	1906
328	933	1903
329	935	1899
330	937	1894
331	939	1890
332	941	1886
333	944	1882
334	946	1878
335	947	1873
336	950	1869
337	952	1865
338	954	1860
339	956	1856
340	958	1852
341	960	1848
342	962	1843
343	964	1839
344	966	1835
345	968	1831
346	970	1826
347	972	1822
348	974	1818
349	976	1813
350	978	1809
351	980	1805
352	982	1801
353	984	1796
354	986	1792
355	988	1788
356	990	1783
357	992	1779
358	994	1775
359	996	1771
360	998	1767
361	1001	1764
362	1003	1761
363	1005	1757
364	1008	1753
365	1010	1750
366	1013	1747
367	1015	1744
368	1018	1742
369	1021	1738
370	1023	1735
371	1025	1731
372	1028	1728
373	1030	1724
374	1032	1721
375	1034	1717
376	1037	1713
377	1039	1710
378	1041	1706
379	1043	1702
380	1046	1699
381	1048	1695
382	1050	1691
383	1052	1687
384	1054	1684
385	1056	1681
386	1059	1678
387	1062	1675
388	1064	1671
389	1066	1668
390	1068	1664
391	1070	1661
392	1073	1657
393	1075	1654
394	1077	1650
395	1079	1646
396	1081	1642
397	1083	1639
398	1086	1635
399	1088	1632
400	1091	1629
401	1092	1625
402	1094	1621
403	1096	1617
404	1097	1612
405	1098	1607
406	1100	1602
407	1101	1597
408	1102	1593
409	1103	1588
410	1105	1584
411	1107	1580
412	1108	1575
413	1110	1571
414	1111	1566
415	1112	1561
416	1113	1557
417	1115	1552
418	1116	1547
419	1117	1543
420	1118	1538
421	1120	1534
422	1121	1529
423	1122	1525
424	1123	1520
425	1124	1515
426	1126	1511
427	1127	1507
428	1129	1502
429	1130	1498
430	1131	1494
431	1133	1489
432	1134	1485
433	1136	1481
434	1137	1477
435	1138	1473
436	1139	1468
437	1141	1464
438	1143	1460
439	1144	1456
440	1145	1452
441	1146	1447
442	1148	1443
443	1149	1439
444	1151	1435
445	1152	1431
446	1153	1426
447	1154	1422
448	1155	1418
449	1157	1414
450	1158	1410
451	1159	1405
452	1160	1401
453	1161	1397
454	1163	1393
455	1164	1389
456	1165	1385
457	1166	1380
458	1168	1376
459	1169	1372
460	1170	1368
461	1172	1364
462	1173	1360
463	1174	1356
464	1175	1352
465	1177	1348
466	1178	1345
467	1180	1341
468	1181	1337
469	1182	1333
470	1184	1329
471	1185	1325
472	1186	1322
473	1188	1318
474	1189	1314
475	1190	1310
476	1191	1306
477	1192	1302
478	1194	1299
479	1195	1295
480	1196	1291
481	1198	1287
482	1199	1283
483	1200	1280
484	1201	1276
485	1203	1272
486	1204	1268
487	1205	1264
488	1206	1261
489	1208	1257
490	1209	1253
491	1210	1250
492	1212	1246
493	1213	1242
494	1214	1239
495	1215	1235
496	1217	1231
497	1218	1228
